,chain_id,cuisine_ids,product_group_ids,products,cuisines,products_len,cuisines_len,cuisines_predicted
1541688,95830,[2],"[2, 40, 41]","[2, 40, 41]",[2],3,1,[2]
1543653,42110,"[1, 2, 4]","[27, 30, 37, 43]","[27, 30, 37, 43]","[1, 2, 4]",4,3,[1 4]
1544165,127066,,"[1, 2, 3, 37]","[1, 2, 3, 37]",[],4,0,[1 2 3 4]
1545304,174822,,[36],[36],[],1,0,[1 2]
1545585,144542,,"[5, 25, 27, 48, 51]","[5, 25, 27, 48, 51]",[],5,0,[1 3 4]
1545729,110202,[1],"[1, 25, 26]","[1, 25, 26]",[1],3,1,[1]
1547051,173282,,"[5, 24, 25, 33]","[5, 24, 25, 33]",[],4,0,[1 4 5]
1548860,150402,,"[2, 18, 36]","[2, 18, 36]",[],3,0,[2]
1549114,16086,[2],"[2, 5]","[2, 5]",[2],2,1,[2 4 5]
1549303,139350,,"[2, 40]","[2, 40]",[],2,0,[2]
1549392,146282,,"[1, 6, 23, 34]","[1, 6, 23, 34]",[],4,0,[1]
1549815,115822,,"[1, 2, 5, 25]","[1, 2, 5, 25]",[],4,0,[1 2]
1551697,175702,,"[1, 23, 42]","[1, 23, 42]",[],3,0,[1]
1551735,164826,,"[5, 19]","[5, 19]",[],2,0,[1 4]
1551749,156574,,"[6, 26]","[6, 26]",[],2,0,[5]
1552763,163222,,"[25, 34, 43]","[25, 34, 43]",[],3,0,[1 3 4 6]
1552841,121082,,[19],[19],[],1,0,[1 4]
1552862,86786,"[1, 3, 4]","[5, 18, 25, 43]","[5, 18, 25, 43]","[1, 3, 4]",4,3,[3 4]
1552957,155374,,[41],[41],[],1,0,[1 2 6]
1553815,118166,,"[6, 26]","[6, 26]",[],2,0,[5]
1553950,161190,,"[1, 5, 27, 30]","[1, 5, 27, 30]",[],4,0,[1 4]
1553960,142778,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
1554062,164078,,[40],[40],[],1,0,[2]
1555058,88514,"[1, 3, 4]",[5],[5],"[1, 3, 4]",1,3,[1 4]
1556322,116386,,"[1, 2, 3, 18]","[1, 2, 3, 18]",[],4,0,[1 2 3 5]
1557391,122266,,"[1, 23]","[1, 23]",[],2,0,[1]
1557401,127290,,"[6, 26]","[6, 26]",[],2,0,[5]
1558945,121750,,"[1, 23, 42, 43, 51]","[1, 23, 42, 43, 51]",[],5,0,[1 3 5]
1558972,106130,[1],"[29, 34, 48]","[29, 34, 48]",[1],3,1,[1]
1559011,170470,,[43],[43],[],1,0,[3 4]
1559108,107934,"[3, 4]","[3, 21, 33]","[3, 21, 33]","[3, 4]",3,2,[1 3 4]
1559394,170058,,"[5, 21, 30, 37]","[5, 21, 30, 37]",[],4,0,[1 4]
1559522,30046,[5],[6],[6],[5],1,1,[1 5]
1559528,139134,,"[1, 23, 25, 42]","[1, 23, 25, 42]",[],4,0,[1]
1559692,136726,,"[6, 26]","[6, 26]",[],2,0,[5]
1559935,167358,,[37],[37],[],1,0,[4]
1561294,76054,"[1, 5]","[1, 35]","[1, 35]","[1, 5]",2,2,[1 5]
1561599,172426,,[40],[40],[],1,0,[2]
1561675,167334,,,[],[],0,0,[1 2 5]
1562068,175374,,"[19, 31]","[19, 31]",[],2,0,[1 6]
1562082,117906,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
1562325,142062,,"[20, 25, 34, 43]","[20, 25, 34, 43]",[],4,0,[1 3]
1562972,106346,[2],"[1, 2, 18, 26, 51]","[1, 2, 18, 26, 51]",[2],5,1,[1 2 3 5]
1563452,124206,,[18],[18],[],1,0,[2]
1563497,128018,,"[20, 25, 43]","[20, 25, 43]",[],3,0,[1 3]
1564916,171378,,[39],[39],[],1,0,[2 6]
1567423,168358,,[26],[26],[],1,0,[1]
1567534,129950,,"[1, 2, 18]","[1, 2, 18]",[],3,0,[1 2]
1568814,98882,"[1, 2]","[1, 2, 18, 29, 51]","[1, 2, 18, 29, 51]","[1, 2]",5,2,[1 2]
1568962,156626,,"[6, 26]","[6, 26]",[],2,0,[5]
1569469,134418,,[19],[19],[],1,0,[1 4]
1569717,126370,,"[1, 2, 18]","[1, 2, 18]",[],3,0,[1 2]
1571647,151786,,"[24, 33, 43]","[24, 33, 43]",[],3,0,[3 4]
1571777,117882,,"[1, 28, 42]","[1, 28, 42]",[],3,0,[1]
1571877,168578,,[30],[30],[],1,0,[1 3 4 5]
1572673,101578,[4],"[5, 19]","[5, 19]",[4],2,1,[1 4]
1573113,59646,[2],"[2, 20, 25, 51]","[2, 20, 25, 51]",[2],4,1,[1 2]
1573450,142698,,[19],[19],[],1,0,[1 4]
1573516,69926,[2],"[2, 20]","[2, 20]",[2],2,1,[2]
1573687,109194,[5],"[6, 26]","[6, 26]",[5],2,1,[5]
1573913,161206,,"[1, 2, 6]","[1, 2, 6]",[],3,0,[1 2 5]
1573983,142314,,"[25, 39]","[25, 39]",[],2,0,[1 2 6]
1574106,137494,,"[5, 19, 26, 30]","[5, 19, 26, 30]",[],4,0,[4 6]
1574206,138574,,"[5, 21, 30, 37]","[5, 21, 30, 37]",[],4,0,[1 4]
1574250,92990,"[1, 2]","[1, 2, 26, 36]","[1, 2, 26, 36]","[1, 2]",4,2,[1 2]
1574898,154710,,"[1, 2, 19, 29]","[1, 2, 19, 29]",[],4,0,[1 2]
1575416,31070,[2],"[1, 2, 23, 43]","[1, 2, 23, 43]",[2],4,1,[1 2]
1577720,173394,,"[26, 29]","[26, 29]",[],2,0,[1 5]
1577753,177942,,"[21, 30, 37]","[21, 30, 37]",[],3,0,[1 4]
1577961,167746,,"[6, 33]","[6, 33]",[],2,0,[5]
1578675,145538,,"[6, 27, 30, 34]","[6, 27, 30, 34]",[],4,0,[1 2 5]
1579961,177070,,"[26, 29]","[26, 29]",[],2,0,[1 5]
1580116,175534,,"[1, 3, 23, 26]","[1, 3, 23, 26]",[],4,0,[1 3 5]
1580309,156586,,"[6, 26]","[6, 26]",[],2,0,[5]
1580684,158166,,"[2, 6, 22, 44]","[2, 6, 22, 44]",[],4,0,[2 4 5]
1580872,119546,,"[1, 2, 18, 40]","[1, 2, 18, 40]",[],4,0,[1 2]
1581061,163470,,"[2, 36]","[2, 36]",[],2,0,[2]
1581068,136290,,"[2, 24, 40]","[2, 24, 40]",[],3,0,[2 4]
1582002,166514,,[6],[6],[],1,0,[1 5]
1582152,52846,"[1, 2]","[1, 2]","[1, 2]","[1, 2]",2,2,[1 2]
1582210,105042,"[1, 2]","[18, 23, 25, 42]","[18, 23, 25, 42]","[1, 2]",4,2,[1 2]
1582670,168750,,"[3, 27, 30]","[3, 27, 30]",[],3,0,[1 3]
1582957,15554,"[1, 2]","[1, 2, 18, 35]","[1, 2, 18, 35]","[1, 2]",4,2,[1 2]
1583664,23286,"[1, 2, 5, 6]","[1, 2, 6, 18]","[1, 2, 6, 18]","[1, 2, 5, 6]",4,4,[1 2 5]
1583838,109662,"[1, 2]","[1, 2, 18, 23]","[1, 2, 18, 23]","[1, 2]",4,2,[1 2]
1584115,81534,[2],"[20, 24, 36, 40]","[20, 24, 36, 40]",[2],4,1,[2]
1584135,165858,,"[5, 19, 26]","[5, 19, 26]",[],3,0,[4 5]
1584154,38706,"[1, 2, 3, 4]","[1, 5, 25, 43]","[1, 5, 25, 43]","[1, 2, 3, 4]",4,4,[1 3 4]
1586113,168470,,"[1, 2, 24, 25]","[1, 2, 24, 25]",[],4,0,[1 2]
1587039,110150,[4],[5],[5],[4],1,1,[1 4]
1587409,81202,"[1, 2]","[1, 2, 18]","[1, 2, 18]","[1, 2]",3,2,[1 2]
1588731,144782,,"[19, 29]","[19, 29]",[],2,0,[1 4 5]
1588779,66586,"[1, 2]","[2, 23, 36, 40]","[2, 23, 36, 40]","[1, 2]",4,2,[1 2]
1589813,153450,,"[23, 24, 26, 36]","[23, 24, 26, 36]",[],4,0,[1]
1589874,144674,,"[1, 2]","[1, 2]",[],2,0,[1 2]
1589968,117582,,[39],[39],[],1,0,[2 6]
1590204,64098,[1],"[1, 51]","[1, 51]",[1],2,1,[1]
1590369,137162,,[43],[43],[],1,0,[3 4]
1592967,109062,"[2, 5]","[2, 18, 26, 35]","[2, 18, 26, 35]","[2, 5]",4,2,[2 5]
1593045,153642,,"[1, 6, 28]","[1, 6, 28]",[],3,0,[1 2 5]
1593056,139378,,"[1, 2, 40]","[1, 2, 40]",[],3,0,[1 2]
1593606,155494,,"[34, 43]","[34, 43]",[],2,0,[1 3]
1593700,127110,,"[1, 26, 33, 43]","[1, 26, 33, 43]",[],4,0,[1 3 5]
1595608,160214,,[2],[2],[],1,0,[2]
1595786,136346,,"[1, 2, 23]","[1, 2, 23]",[],3,0,[1 2 5]
1595921,145046,,"[1, 25, 27, 34]","[1, 25, 27, 34]",[],4,0,[1]
1596463,105834,"[1, 2]","[1, 2, 18, 40, 51]","[1, 2, 18, 40, 51]","[1, 2]",5,2,[1 2]
1596596,135018,,"[5, 30, 37]","[5, 30, 37]",[],3,0,[4]
1596835,106394,"[1, 5]","[6, 25]","[6, 25]","[1, 5]",2,2,[1 5]
1596854,146430,,"[6, 25, 33, 43]","[6, 25, 33, 43]",[],4,0,[1 3 5]
1596870,153366,,"[5, 21, 37]","[5, 21, 37]",[],3,0,[4]
1596969,115026,,"[1, 2, 18]","[1, 2, 18]",[],3,0,[1 2]
1598319,12154,"[1, 2]","[1, 2]","[1, 2]","[1, 2]",2,2,[1 2]
1599254,154882,,[6],[6],[],1,0,[1 5]
1599382,83782,"[2, 26]","[2, 20]","[2, 20]","[2, 26]",2,2,[2]
1599871,136398,,"[2, 40]","[2, 40]",[],2,0,[2]
1600024,54466,"[1, 2]","[1, 2, 20]","[1, 2, 20]","[1, 2]",3,2,[ 1  2 10]
1600080,146034,,[37],[37],[],1,0,[4]
1600111,121846,,"[1, 42]","[1, 42]",[],2,0,[1]
1600351,139666,,"[1, 26]","[1, 26]",[],2,0,[1 5]
1600545,131854,,"[5, 21, 30, 37]","[5, 21, 30, 37]",[],4,0,[1 4]
1600616,151222,,"[1, 27]","[1, 27]",[],2,0,[1]
1600971,144394,,"[19, 26]","[19, 26]",[],2,0,[1 6]
1603117,169790,,"[2, 6]","[2, 6]",[],2,0,[2 5]
1603120,142262,,"[6, 26]","[6, 26]",[],2,0,[5]
1603253,175238,,,[],[],0,0,[1 2 5]
1603307,24486,"[1, 5]","[1, 26, 51]","[1, 26, 51]","[1, 5]",3,2,[1 5]
1604076,167278,,,[],[],0,0,[1 2 5]
1604381,130226,,"[2, 40]","[2, 40]",[],2,0,[2]
1604515,145542,,"[1, 2]","[1, 2]",[],2,0,[1 2]
1604741,122322,,[1],[1],[],1,0,[1]
1605677,128254,,"[6, 26]","[6, 26]",[],2,0,[5]
1607068,161082,,[38],[38],[],1,0,[2 6]
1607171,109158,[5],"[6, 26]","[6, 26]",[5],2,1,[5]
1608361,123430,,"[2, 18, 24]","[2, 18, 24]",[],3,0,[2]
1608435,174186,,[5],[5],[],1,0,[1 4]
1609600,71502,[1],"[1, 42]","[1, 42]",[1],2,1,[1]
1609664,96866,"[1, 3, 4]","[1, 42, 43]","[1, 42, 43]","[1, 3, 4]",3,3,[3 4]
1609813,177150,,"[6, 25, 33, 43]","[6, 25, 33, 43]",[],4,0,[1 3 5]
1609884,148014,,"[19, 30]","[19, 30]",[],2,0,[4]
1609937,144798,,"[5, 19, 44]","[5, 19, 44]",[],3,0,[4]
1610129,165558,,"[1, 2, 24, 25]","[1, 2, 24, 25]",[],4,0,[1 2]
1610446,56670,"[1, 2]","[1, 2, 20, 25]","[1, 2, 20, 25]","[1, 2]",4,2,[1 2 5]
1613439,42954,[2],"[2, 36, 40, 51]","[2, 36, 40, 51]",[2],4,1,[2]
1613555,114058,,"[1, 2, 18, 40]","[1, 2, 18, 40]",[],4,0,[1 2]
1613991,162618,,[39],[39],[],1,0,[2 6]
1614045,174226,,"[26, 29]","[26, 29]",[],2,0,[1 5]
1614106,124546,,"[5, 27, 30, 37]","[5, 27, 30, 37]",[],4,0,[1 4]
1614184,128010,,"[1, 2, 18, 23]","[1, 2, 18, 23]",[],4,0,[1 2]
1614623,136298,,"[1, 2, 26]","[1, 2, 26]",[],3,0,[1 2]
1614701,120858,,"[1, 42]","[1, 42]",[],2,0,[1]
1615068,32678,"[1, 3, 4]",[1],[1],"[1, 3, 4]",1,3,[1]
1615184,134470,,[1],[1],[],1,0,[1]
1616211,117758,,"[1, 2, 6, 36]","[1, 2, 6, 36]",[],4,0,[1 2 5]
1616446,169294,,"[21, 37]","[21, 37]",[],2,0,[3 4]
1617113,148030,,"[1, 2, 40]","[1, 2, 40]",[],3,0,[1 2]
1617339,157882,,[2],[2],[],1,0,[2]
1617419,96022,[4],"[5, 19, 37]","[5, 19, 37]",[4],3,1,[4]
1617573,19450,"[1, 2]","[1, 2, 51]","[1, 2, 51]","[1, 2]",3,2,[1 2 3]
1618267,146834,,"[5, 20, 25, 37]","[5, 20, 25, 37]",[],4,0,[4]
1618351,146058,,"[25, 30]","[25, 30]",[],2,0,[1 3 4]
1620417,21578,"[1, 2, 3]","[1, 2, 20, 27, 41]","[1, 2, 20, 27, 41]","[1, 2, 3]",5,3,[2 3]
1622424,136286,,"[1, 42]","[1, 42]",[],2,0,[1]
1622511,112922,,"[1, 2, 18, 33]","[1, 2, 18, 33]",[],4,0,[1 2]
1623679,165474,,[48],[48],[],1,0,[1 5]
1624347,73558,"[1, 4]","[5, 21, 37, 43]","[5, 21, 37, 43]","[1, 4]",4,2,[1 4]
1625404,116606,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
1626403,165514,,"[6, 26]","[6, 26]",[],2,0,[5]
1626686,137886,,"[5, 6, 25]","[5, 6, 25]",[],3,0,[1 3 4 5]
1626701,33818,"[1, 5]","[1, 26, 51]","[1, 26, 51]","[1, 5]",3,2,[1 5]
1628443,106874,"[1, 3, 4, 5]","[1, 26, 34, 35]","[1, 26, 34, 35]","[1, 3, 4, 5]",4,4,[3 5]
1629349,27314,[2],"[2, 40, 51]","[2, 40, 51]",[2],3,1,[2]
1630106,123886,,"[1, 2, 40, 42]","[1, 2, 40, 42]",[],4,0,[1 2]
1631544,172870,,[2],[2],[],1,0,[2]
1631867,109338,"[1, 2]","[1, 2, 18]","[1, 2, 18]","[1, 2]",3,2,[1 2]
1632929,120922,,"[1, 42]","[1, 42]",[],2,0,[1]
1633354,161558,,"[33, 36, 43, 48]","[33, 36, 43, 48]",[],4,0,[1 2 3]
1633614,162414,,"[18, 48]","[18, 48]",[],2,0,[2]
1633658,115134,,"[1, 2, 6, 29]","[1, 2, 6, 29]",[],4,0,[1 2 5]
1634524,126038,,"[6, 26]","[6, 26]",[],2,0,[5]
1635268,141614,,"[5, 19, 22, 24]","[5, 19, 22, 24]",[],4,0,[4]
1635341,165774,,"[18, 39]","[18, 39]",[],2,0,[2 5 6]
1635360,82814,"[1, 2]","[1, 2]","[1, 2]","[1, 2]",2,2,[1 2]
1635454,142510,,"[6, 25]","[6, 25]",[],2,0,[1 5]
1635738,71582,[5],"[6, 27]","[6, 27]",[5],2,1,[4 5]
1636980,131310,,"[18, 34, 36, 48]","[18, 34, 36, 48]",[],4,0,[2]
1637806,111362,,"[2, 18, 33, 51]","[2, 18, 33, 51]",[],4,0,[2]
1638775,160570,,"[1, 2, 23, 25]","[1, 2, 23, 25]",[],4,0,[1 2]
1638832,147262,,[27],[27],[],1,0,[1]
1638833,114370,,"[5, 21, 30, 37]","[5, 21, 30, 37]",[],4,0,[1 4]
1638890,122994,,"[6, 26]","[6, 26]",[],2,0,[5]
1638995,152250,,[5],[5],[],1,0,[1 4]
1640105,160162,,[37],[37],[],1,0,[4]
1640189,112474,,"[2, 18]","[2, 18]",[],2,0,[2]
1640318,124138,,"[1, 2, 18, 23]","[1, 2, 18, 23]",[],4,0,[1 2]
1641151,122478,,"[2, 18, 36, 40]","[2, 18, 36, 40]",[],4,0,[1 2]
1641380,152114,,"[1, 2, 3, 40]","[1, 2, 3, 40]",[],4,0,[1 2 5]
1641489,155734,,"[1, 2, 26, 35]","[1, 2, 26, 35]",[],4,0,[1 2 5]
1641585,96738,[2],"[2, 40]","[2, 40]",[2],2,1,[2]
1641727,175822,,[26],[26],[],1,0,[1]
1641803,134810,,[39],[39],[],1,0,[2 6]
1641894,96586,[2],"[2, 51]","[2, 51]",[2],2,1,[1 2]
1642253,119722,,"[1, 2, 23]","[1, 2, 23]",[],3,0,[1 2 5]
1643021,60766,"[1, 2]","[1, 2, 18, 40, 51]","[1, 2, 18, 40, 51]","[1, 2]",5,2,[1 2]
1643107,107250,"[1, 2]","[1, 2, 40, 42]","[1, 2, 40, 42]","[1, 2]",4,2,[1 2]
1643196,56486,[2],"[1, 2, 5, 25]","[1, 2, 5, 25]",[2],4,1,[1 2]
1643421,165814,,"[1, 2, 36]","[1, 2, 36]",[],3,0,[2]
1643792,179214,,"[29, 43]","[29, 43]",[],2,0,[1 3 4 5]
1644894,131662,,[27],[27],[],1,0,[1]
1645853,154054,,,[],[],0,0,[1 2 5]
1645896,170082,,"[19, 28]","[19, 28]",[],2,0,[1 4]
1645905,120190,,"[5, 27, 44]","[5, 27, 44]",[],3,0,[4]
1646403,19454,[2],"[1, 2, 51]","[1, 2, 51]",[2],3,1,[1 2 3]
1646483,109990,[5],"[6, 26]","[6, 26]",[5],2,1,[5]
1646576,91474,"[1, 2]","[1, 2, 18, 20]","[1, 2, 18, 20]","[1, 2]",4,2,[1 2 5]
1646709,167650,,,[],[],0,0,[1 2 5]
1646732,178706,,"[5, 21, 25, 37]","[5, 21, 25, 37]",[],4,0,[4]
1646758,148010,,[3],[3],[],1,0,[1 3 4]
1647904,130606,,"[2, 26, 33, 40]","[2, 26, 33, 40]",[],4,0,[2]
1648168,167438,,,[],[],0,0,[1 2 5]
1648625,108986,[2],"[2, 18, 33, 40]","[2, 18, 33, 40]",[2],4,1,[2]
1649687,173142,,"[27, 30]","[27, 30]",[],2,0,[1 3]
1649701,103162,"[1, 5]","[1, 6, 42]","[1, 6, 42]","[1, 5]",3,2,[1 5]
1649751,144970,,"[2, 40]","[2, 40]",[],2,0,[2]
1649986,176258,,"[34, 39, 42, 48]","[34, 39, 42, 48]",[],4,0,[1 2 6]
1650032,171362,,[43],[43],[],1,0,[3 4]
1650271,91554,[2],"[2, 18, 36, 40]","[2, 18, 36, 40]",[2],4,1,[1 2]
1651070,105922,[4],"[1, 5, 21, 37]","[1, 5, 21, 37]",[4],4,1,[1 4]
1651421,132658,,"[2, 18, 40, 51]","[2, 18, 40, 51]",[],4,0,[2]
1651468,142706,,"[5, 25, 37]","[5, 25, 37]",[],3,0,[1 3 4]
1651494,121262,,"[2, 40]","[2, 40]",[],2,0,[2]
1651543,163678,,"[2, 18]","[2, 18]",[],2,0,[2]
1652807,71574,[2],"[2, 18, 40, 47]","[2, 18, 40, 47]",[2],4,1,[2]
1653028,21474,[1],"[1, 23, 24]","[1, 23, 24]",[1],3,1,[1]
1653297,124918,,"[30, 34, 48, 51]","[30, 34, 48, 51]",[],4,0,[1 2 3 4]
1653812,132230,,"[1, 25, 26, 42]","[1, 25, 26, 42]",[],4,0,[1 4]
1653819,177366,,"[5, 19]","[5, 19]",[],2,0,[1 4]
1653953,25506,"[1, 2]","[1, 2, 40, 41]","[1, 2, 40, 41]","[1, 2]",4,2,[1 2 5]
1654096,136438,,"[6, 26]","[6, 26]",[],2,0,[5]
1654100,109622,[2],"[1, 2, 40, 42]","[1, 2, 40, 42]",[2],4,1,[1 2]
1654184,79990,[2],"[1, 2, 36, 40, 51]","[1, 2, 36, 40, 51]",[2],5,1,[1 2]
1654427,118858,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
1654437,168842,,"[27, 52]","[27, 52]",[],2,0,[1]
1654683,161066,,[30],[30],[],1,0,[1 3 4 5]
1656654,104850,[4],"[3, 30, 51]","[3, 30, 51]",[4],3,1,[3 4]
1657777,134226,,"[1, 2, 18]","[1, 2, 18]",[],3,0,[1 2]
1657944,156758,,"[6, 26]","[6, 26]",[],2,0,[5]
1658294,40270,[2],"[2, 18, 36, 40, 51]","[2, 18, 36, 40, 51]",[2],5,1,[2]
1659138,44874,"[1, 3]","[1, 23, 24, 29]","[1, 23, 24, 29]","[1, 3]",4,2,[1 3]
1659281,166482,,[39],[39],[],1,0,[2 6]
1660470,171002,,"[1, 2]","[1, 2]",[],2,0,[1 2]
1660690,60614,[2],"[2, 18, 40]","[2, 18, 40]",[2],3,1,[2]
1661102,149578,,"[34, 43]","[34, 43]",[],2,0,[1 3]
1662198,159734,,"[6, 26]","[6, 26]",[],2,0,[5]
1662262,30110,"[1, 2, 3]","[1, 20, 23, 25]","[1, 20, 23, 25]","[1, 2, 3]",4,3,[1 2 3]
1662400,161798,,[2],[2],[],1,0,[2]
1662827,167878,,"[1, 2, 5, 26]","[1, 2, 5, 26]",[],4,0,[1 2 4]
1663035,121638,,"[1, 2, 18, 26]","[1, 2, 18, 26]",[],4,0,[1 2 3 5]
1663858,125790,,"[1, 2, 40, 42]","[1, 2, 40, 42]",[],4,0,[1 2]
1664266,156918,,[36],[36],[],1,0,[1 2]
1664704,118922,,"[6, 26]","[6, 26]",[],2,0,[5]
1664848,148114,,"[19, 30]","[19, 30]",[],2,0,[4]
1664890,90622,[2],"[18, 20, 25, 27]","[18, 20, 25, 27]",[2],4,1,[2]
1664997,166618,,"[1, 24, 25]","[1, 24, 25]",[],3,0,[1 3]
1665367,150154,,"[5, 21, 37]","[5, 21, 37]",[],3,0,[4]
1666153,123742,,"[1, 3, 30]","[1, 3, 30]",[],3,0,[1 3]
1666397,161466,,"[5, 44]","[5, 44]",[],2,0,[4]
1666899,105482,"[1, 2]","[1, 18, 26]","[1, 18, 26]","[1, 2]",3,2,[1 2 5]
1668277,7574,"[1, 2]","[1, 2, 18]","[1, 2, 18]","[1, 2]",3,2,[1 2]
1669218,124294,,"[2, 6, 26, 40]","[2, 6, 26, 40]",[],4,0,[2 5]
1669416,176070,,[37],[37],[],1,0,[4]
1669457,119778,,"[30, 37]","[30, 37]",[],2,0,[4]
1669725,132482,,"[18, 25]","[18, 25]",[],2,0,[2]
1669759,168514,,"[5, 19]","[5, 19]",[],2,0,[1 4]
1669779,104198,[3],"[25, 43, 51]","[25, 43, 51]",[3],3,1,[3]
1669802,126574,,"[19, 26, 29, 32]","[19, 26, 29, 32]",[],4,0,[1 6]
1669946,165714,,"[6, 25]","[6, 25]",[],2,0,[1 5]
1670517,128242,,"[1, 25, 42]","[1, 25, 42]",[],3,0,[1]
1670624,97478,"[1, 4]","[19, 28, 29, 51]","[19, 28, 29, 51]","[1, 4]",4,2,[1 4]
1672845,115174,,[2],[2],[],1,0,[2]
1674841,92854,[1],[1],[1],[1],1,1,[1]
1675632,127314,,"[5, 19, 25]","[5, 19, 25]",[],3,0,[3 4]
1675683,115958,,"[1, 2, 6]","[1, 2, 6]",[],3,0,[1 2 5]
1677544,27370,"[2, 3]","[2, 18, 36, 40, 51]","[2, 18, 36, 40, 51]","[2, 3]",5,2,[2]
1678342,153978,,"[34, 43]","[34, 43]",[],2,0,[1 3]
1678391,113126,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
1679406,161234,,"[1, 42]","[1, 42]",[],2,0,[1]
1679439,167230,,[6],[6],[],1,0,[1 5]
1679446,145498,,"[1, 23, 42]","[1, 23, 42]",[],3,0,[1]
1679946,127578,,"[6, 26]","[6, 26]",[],2,0,[5]
1680858,148798,,[25],[25],[],1,0,[1 2 4 5]
1682222,32226,[2],"[18, 36]","[18, 36]",[2],2,1,[2]
1682415,151778,,"[2, 40]","[2, 40]",[],2,0,[2]
1682458,118318,,"[26, 28]","[26, 28]",[],2,0,[1]
1684077,128302,,"[24, 43]","[24, 43]",[],2,0,[3 4]
1684167,123358,,"[6, 26]","[6, 26]",[],2,0,[5]
1684807,116658,,"[5, 25]","[5, 25]",[],2,0,[1 3 4]
1684984,166574,,"[5, 19, 20, 26]","[5, 19, 20, 26]",[],4,0,[1 4 5]
1685001,62070,"[1, 4]","[5, 22, 51]","[5, 22, 51]","[1, 4]",3,2,[1 4]
1685224,113330,,"[1, 2, 18]","[1, 2, 18]",[],3,0,[1 2]
1685361,142278,,"[26, 29, 30, 34]","[26, 29, 30, 34]",[],4,0,[1 3 4 5]
1685561,168114,,"[21, 30, 37]","[21, 30, 37]",[],3,0,[1 4]
1685593,115154,,"[1, 2, 18]","[1, 2, 18]",[],3,0,[1 2]
1685687,173514,,"[25, 34, 43]","[25, 34, 43]",[],3,0,[1 3 4 6]
1685774,103686,[1],"[1, 42]","[1, 42]",[1],2,1,[1]
1685871,126602,,[43],[43],[],1,0,[3 4]
1688748,122102,,"[6, 26]","[6, 26]",[],2,0,[5]
1688970,163246,,[19],[19],[],1,0,[1 4]
1688995,148150,,"[1, 23, 42]","[1, 23, 42]",[],3,0,[1]
1689921,127586,,"[33, 34, 48]","[33, 34, 48]",[],3,0,[1 5]
1690851,153206,,"[23, 34]","[23, 34]",[],2,0,[1 4 5]
1691412,11170,[1],[1],[1],[1],1,1,[1]
1692204,171218,,"[19, 52]","[19, 52]",[],2,0,[1 4]
1693557,69430,"[1, 2, 3, 4]","[2, 5, 22, 44, 51]","[2, 5, 22, 44, 51]","[1, 2, 3, 4]",5,4,[1 3 4]
1694174,76926,[2],[38],[38],[2],1,1,[2 6]
1694178,81722,"[1, 2, 5]","[1, 2, 6, 41]","[1, 2, 6, 41]","[1, 2, 5]",4,3,[2 5]
1694423,158750,,"[6, 25, 33, 43]","[6, 25, 33, 43]",[],4,0,[1 3 5]
1694439,65106,[5],[6],[6],[5],1,1,[1 5]
1694616,35762,"[1, 2]","[1, 2, 18]","[1, 2, 18]","[1, 2]",3,2,[1 2]
1694785,169550,,"[1, 2, 36]","[1, 2, 36]",[],3,0,[2]
1694832,123170,,"[1, 2, 18, 42]","[1, 2, 18, 42]",[],4,0,[1 2]
1695363,174278,,"[1, 2, 3]","[1, 2, 3]",[],3,0,[1 2 3]
1695457,95318,[1],"[1, 23, 42, 51]","[1, 23, 42, 51]",[1],4,1,[1 5]
1695475,161710,,[2],[2],[],1,0,[2]
1695525,123022,,[6],[6],[],1,0,[1 5]
1695540,157990,,"[26, 29]","[26, 29]",[],2,0,[1 5]
1695870,110694,,"[1, 2, 6, 18, 51]","[1, 2, 6, 18, 51]",[],5,0,[1 2 5]
1696599,159638,,"[1, 3, 5]","[1, 3, 5]",[],3,0,[1 4]
1696759,63766,[4],"[5, 37]","[5, 37]",[4],2,1,[1 3 4]
1696996,89174,[2],"[2, 40]","[2, 40]",[2],2,1,[2]
1698450,172510,,"[5, 19, 25]","[5, 19, 25]",[],3,0,[3 4]
1698591,163458,,"[1, 2]","[1, 2]",[],2,0,[1 2]
1698939,137834,,"[19, 26, 30]","[19, 26, 30]",[],3,0,[1 4]
1699247,160466,,"[1, 2, 24, 25]","[1, 2, 24, 25]",[],4,0,[1 2]
1699577,30238,[2],"[2, 18, 20, 41]","[2, 18, 20, 41]",[2],4,1,[2]
1700761,83602,[2],"[1, 2, 18, 29]","[1, 2, 18, 29]",[2],4,1,[2]
1701325,172962,,"[1, 2, 23, 42]","[1, 2, 23, 42]",[],4,0,[1 2]
1701351,65530,"[1, 2, 5]","[1, 2, 6, 23]","[1, 2, 6, 23]","[1, 2, 5]",4,3,[1 2 5]
1701455,128746,,[44],[44],[],1,0,[1 2 4]
1701483,156122,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
1701548,103566,[2],[39],[39],[2],1,1,[2 6]
1701598,122294,,"[2, 18, 36, 40]","[2, 18, 36, 40]",[],4,0,[1 2]
1701648,138918,,"[33, 39]","[33, 39]",[],2,0,[2 6]
