,chain_id,cuisine_ids,product_group_ids,products,cuisines,products_len,cuisines_len,cuisines_predicted
51516,118750,,"[1, 2, 32, 36]","[1, 2, 32, 36]",[],4,0,[2]
51816,120574,,"[1, 2, 18, 51]","[1, 2, 18, 51]",[],4,0,[1 2 4]
53006,157090,,[1],[1],[],1,0,[1]
53097,166,[1],"[1, 26, 42, 47, 51]","[1, 26, 42, 47, 51]",[1],5,1,[1 5]
54226,108530,[4],"[5, 19, 22, 24]","[5, 19, 22, 24]",[4],4,1,[4]
57389,6202,[2],"[2, 24, 36, 40, 51]","[2, 24, 36, 40, 51]",[2],5,1,[2]
58866,125082,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
58882,786,[2],"[2, 18, 36, 40]","[2, 18, 36, 40]",[2],4,1,[1 2]
60079,107510,[2],"[2, 20, 36, 48]","[2, 20, 36, 48]",[2],4,1,[2]
62984,124422,,"[1, 2, 18, 24, 51]","[1, 2, 18, 24, 51]",[],5,0,[1 2]
64713,112634,,"[1, 2, 18, 33]","[1, 2, 18, 33]",[],4,0,[1 2]
65388,107702,[1],"[1, 2, 29, 40]","[1, 2, 29, 40]",[1],4,1,[1 2]
67455,153722,,"[2, 18, 40, 48]","[2, 18, 40, 48]",[],4,0,[1 2]
67902,73770,"[1, 4]","[1, 5]","[1, 5]","[1, 4]",2,2,[1 4]
68166,159670,,"[1, 2]","[1, 2]",[],2,0,[1 2]
68307,122538,,"[1, 2, 19, 40]","[1, 2, 19, 40]",[],4,0,[1 2]
68724,36618,[5],"[1, 2, 6, 29]","[1, 2, 6, 29]",[5],4,1,[1 2 5]
70924,30842,"[1, 2]","[1, 2, 40]","[1, 2, 40]","[1, 2]",3,2,[1 2]
71840,138290,,"[1, 2, 42]","[1, 2, 42]",[],3,0,[1 2 5]
74105,77274,"[1, 2]","[1, 2, 18, 20, 51]","[1, 2, 18, 20, 51]","[1, 2]",5,2,[1 2 6]
75411,62150,"[1, 5]",[29],[29],"[1, 5]",1,2,[1 5]
77903,127690,,"[1, 2]","[1, 2]",[],2,0,[1 2]
80015,170894,,[40],[40],[],1,0,[2]
80070,110278,[2],"[1, 2, 40, 42]","[1, 2, 40, 42]",[2],4,1,[1 2]
83708,153794,,[25],[25],[],1,0,[1 2 4 5]
83803,121690,,"[1, 2, 26]","[1, 2, 26]",[],3,0,[1 2]
86136,127894,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
87309,7910,"[1, 2, 4]","[1, 2, 5, 18]","[1, 2, 5, 18]","[1, 2, 4]",4,3,[1 2 4 5]
88379,618,"[1, 5]","[1, 26]","[1, 26]","[1, 5]",2,2,[1 5]
90304,56030,"[1, 2, 3, 5]","[1, 2, 18, 26]","[1, 2, 18, 26]","[1, 2, 3, 5]",4,4,[1 2 3 5]
91703,106250,"[1, 4, 5]","[1, 6, 19, 23]","[1, 6, 19, 23]","[1, 4, 5]",4,3,[1]
93472,120458,,"[1, 2, 6, 26]","[1, 2, 6, 26]",[],4,0,[1 2 5]
93583,5858,"[1, 2]","[1, 2, 18, 40]","[1, 2, 18, 40]","[1, 2]",4,2,[1 2]
94709,116350,,"[18, 25, 36]","[18, 25, 36]",[],3,0,[1 2]
97322,105590,"[1, 2, 5]","[1, 2, 6, 28]","[1, 2, 6, 28]","[1, 2, 5]",4,3,[1 2 5]
97718,63554,"[1, 2, 3]","[1, 2, 3, 18]","[1, 2, 3, 18]","[1, 2, 3]",4,3,[1 2 3 5]
97780,17682,[2],"[2, 18, 36, 40]","[2, 18, 36, 40]",[2],4,1,[1 2]
98633,118130,,"[24, 25, 43]","[24, 25, 43]",[],3,0,[1 3 4 6]
99316,156034,,"[5, 44]","[5, 44]",[],2,0,[4]
99836,120982,,"[33, 34, 48]","[33, 34, 48]",[],3,0,[1 5]
103103,2594,"[1, 3, 4]","[5, 21, 22, 44, 51]","[5, 21, 22, 44, 51]","[1, 3, 4]",5,3,[1 3 4]
104435,168498,,"[5, 6, 19]","[5, 6, 19]",[],3,0,[4]
105511,54790,[1],"[26, 27, 42, 43]","[26, 27, 42, 43]",[1],4,1,[1 5]
107082,122142,,"[1, 2, 23]","[1, 2, 23]",[],3,0,[1 2 5]
108169,146158,,"[1, 2, 5, 40]","[1, 2, 5, 40]",[],4,0,[1 2]
108332,4294,"[3, 4]","[5, 20, 25, 43, 51]","[5, 20, 25, 43, 51]","[3, 4]",5,2,[1 3 5]
109656,63530,"[1, 2]","[1, 2, 20, 41]","[1, 2, 20, 41]","[1, 2]",4,2,[1 2]
109805,83742,"[4, 5]","[6, 19, 27]","[6, 19, 27]","[4, 5]",3,2,[4 5]
109980,172838,,"[1, 2, 6, 24]","[1, 2, 6, 24]",[],4,0,[1 2 4]
111432,111150,,"[1, 2, 6, 18]","[1, 2, 6, 18]",[],4,0,[1 2 5]
111671,170850,,"[5, 24, 25, 44]","[5, 24, 25, 44]",[],4,0,[4]
